strain	accession	clade
AB857234.1	AB857234.1	G2b
JN599150.1	JN599150.1	G1b
JN825706.1	JN825706.1	G2b
JN825707.1	JN825707.1	G2b
JN825708.1	JN825708.1	G2b
JN825709.1	JN825709.1	G2b
JN825710.1	JN825710.1	G2b
JN825711.1	JN825711.1	G2b
JN825712.1	JN825712.1	G2a
JN980698.1	JN980698.1	G2b
JQ239429.1	JQ239429.1	G2b
JQ239432.1	JQ239432.1	G1b
JQ239434.1	JQ239434.1	S-INDEL
JQ239436.1	JQ239436.1	G2a
JQ257005.1	JQ257005.1	G2a
JQ257006.1	JQ257006.1	G2a
JQ257007.1	JQ257007.1	G2a
JQ282909.1	JQ282909.1	G2a
JQ517274.1	JQ517274.1	G2b
JQ627653.1	JQ627653.1	G2b
JQ627654.1	JQ627654.1	G2a
JQ638915.1	JQ638915.1	G2b
JQ638916.1	JQ638916.1	G2b
JQ638917.1	JQ638917.1	G2a
JQ638918.1	JQ638918.1	G2b
JQ638919.1	JQ638919.1	G2a
JQ638920.1	JQ638920.1	G2b
JQ638921.1	JQ638921.1	G1a
JQ638922.1	JQ638922.1	G2b
JQ638924.1	JQ638924.1	G1b
JQ771751.1	JQ771751.1	G2a
JQ771752.1	JQ771752.1	G2a
JQ771753.1	JQ771753.1	G2a
JQ979287.1	JQ979287.1	S-INDEL
JQ979289.1	JQ979289.1	G2a
JQ979290.1	JQ979290.1	S-INDEL
JQ979291.1	JQ979291.1	G2a
JX018179.1	JX018179.1	G2b
JX018180.1	JX018180.1	G1a
JX018182.1	JX018182.1	G2a
JX018183.1	JX018183.1	G2a
JX070671.1	JX070671.1	G2b
JX088695.1	JX088695.1	G2a
JX145339.1	JX145339.1	G2b
JX163294.1	JX163294.1	G2a
JX188454.1	JX188454.1	G2b
JX242454.1	JX242454.1	G2b
JX242455.1	JX242455.1	G2b
JX242456.1	JX242456.1	G2b
JX242457.1	JX242457.1	G2b
JX242458.1	JX242458.1	G2b
JX242459.1	JX242459.1	G2a
JX242460.1	JX242460.1	G2b
JX242461.1	JX242461.1	G2b
JX242463.1	JX242463.1	G2b
JX242464.1	JX242464.1	S-INDEL
JX258672.1	JX258672.1	G2b
JX261936.1	JX261936.1	G2b
JX435298.1	JX435298.1	G2a
JX435299.1	JX435299.1	G2b
JX435300.1	JX435300.1	G2a
JX435301.1	JX435301.1	G2a
JX435302.1	JX435302.1	G2a
JX435303.1	JX435303.1	G2a
JX435304.1	JX435304.1	G2a
JX435305.1	JX435305.1	G2a
JX489155.1	JX489155.1	G2b
JX501317.1	JX501317.1	G2a
JX501319.1	JX501319.1	G2a
JX501320.1	JX501320.1	G2a
JX501321.1	JX501321.1	G2a
JX501322.1	JX501322.1	G2a
JX501323.1	JX501323.1	G2a
JX512907.1	JX512907.1	G2a
JX524137.1	JX524137.1	G2b
JX647847.1	JX647847.1	G2b
KC140102.1	KC140102.1	G2b
KC196276.1	KC196276.1	G2a
KC210145.1	KC210145.1	G2a
KC210146.1	KC210146.1	G1b
KC210147.1	KC210147.1	G2a
KC242897.1	KC242897.1	G2b
KC242898.1	KC242898.1	G2b
KC242899.1	KC242899.1	G2a
KC242900.1	KC242900.1	G2b
KC242901.1	KC242901.1	G2b
KC242902.1	KC242902.1	G2b
KC242903.1	KC242903.1	G2b
KC242904.1	KC242904.1	G2a
KC242905.1	KC242905.1	G2b
KC242906.1	KC242906.1	G2b
KC242907.1	KC242907.1	G2b
KC242908.1	KC242908.1	G2b
KC242909.1	KC242909.1	G2b
KC242910.1	KC242910.1	G2b
KC242911.1	KC242911.1	G2b
KC242912.1	KC242912.1	G2b
KC787536.1	KC787536.1	G2b
KC787537.1	KC787537.1	G2a
KC787538.1	KC787538.1	G2a
KC787540.1	KC787540.1	G2a
KC787541.1	KC787541.1	G2a
KC787542.1	KC787542.1	G2a
KC787544.1	KC787544.1	G2b
KC787545.1	KC787545.1	G2a
KF177255.1	KF177255.1	G2a
KF177256.1	KF177256.1	G2a
KF177257.1	KF177257.1	G2a
KF177258.1	KF177258.1	G2a
KF294254.1	KF294254.1	G2a
KF294255.1	KF294255.1	G2a
KF294256.1	KF294256.1	G2b
KF384500.1	KF384500.1	G2b
KF453510.1	KF453510.1	G2a
KF453511.1	KF453511.1	G2b
KF453512.1	KF453512.1	G2b
KF453514.1	KF453514.1	G2a
KF453515.1	KF453515.1	G2a
KF453516.1	KF453516.1	G2b
KF453517.1	KF453517.1	G2a
KF468755.1	KF468755.1	G2a
KF546800.1	KF546800.1	G2a
KF546801.1	KF546801.1	G2a
KF546802.1	KF546802.1	G2a
KF546803.1	KF546803.1	G2a
KF546804.1	KF546804.1	G2a
KF577730.1	KF577730.1	G2b
KF577731.1	KF577731.1	G2a
KF601195.1	KF601195.1	G2b
KF601196.1	KF601196.1	G2a
KF601197.1	KF601197.1	G2b
KF601198.1	KF601198.1	G2a
KF601199.1	KF601199.1	G2b
KF601200.1	KF601200.1	G2a
KF601201.1	KF601201.1	G2a
KF738258.1	KF738258.1	G2a
KF738259.1	KF738259.1	G2a
KF738260.1	KF738260.1	G2a
KF738261.1	KF738261.1	G2a
KF738262.1	KF738262.1	G2a
KF738263.1	KF738263.1	G2a
KF738264.1	KF738264.1	G2b
KF760557.2	KF760557.2	G2a
KF761675.1	KF761675.1	G2b
